October-September U.S. Tornadoes,,
Date,"Tornadoes","Fatalities"
195109,246,35
195209,255,233
195309,392,470
195409,556,81
195509,578,131
195609,505,85
195709,787,147
195809,624,109
195909,621,62
196009,608,45
196109,676,52
196209,704,31
196309,452,31
196409,677,49
196509,900,319
196609,582,98
196709,882,106
196809,676,141
196909,644,69
197009,633,68
197109,854,163
197209,789,34
197309,1008,76
197409,1040,376
197509,912,64
197609,897,45
197709,794,40
197809,815,51
197909,835,82
198009,889,34
198109,789,25
198209,964,57
198309,935,36
198409,949,122
198509,730,96
198609,757,18
198709,634,42
198809,612,34
198909,928,30
199009,1143,84
199109,1177,41
199209,1143,11
199309,1297,135
199409,1068,45
199509,1162,37
199609,1205,26
199709,1149,72
199809,1448,128
199909,1421,94
200009,972,31
200109,1101,32
200209,934,28
200309,1555,97
200409,1640,29
200509,1322,17
200609,1140,83
200709,1148,87
200809,1722,130
200909,1122,22
201009,1195,37
201109,1802,557
201209,923,75
201309,844,45
201409,929,51
201509,1071,16
201609,1109,38
201709,1389,41
201809,983,6
201909,1651,42
202009,1150,80
202109,984,13
202209,1387,106
202309,1353,83
